"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/df6f775d-8794-4cbe-aa85-dbdc72975696-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","45","moistcr1tikal","99782520","9585","29910","10410","3346616","80491","1867945","true","false","English","moistcr1tikal"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ed0f84d6-2d2d-4c4e-a5fe-7a3cc365684a-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","46","Castro_1021","217991355","8745","48842","24927","3274543","49007","2425328","true","false","English","Castro_1021"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4de1a3ee-1b98-4c6c-9ba8-01a1e45c9fb9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","47","coscu","19302945","6255","18798","3086","3207116","13589","814639","true","false","Spanish","coscu"
"https://static-cdn.jtvnw.net/jtv_user_pictures/df3e5800-b524-4c4e-87b0-8b3646d9185a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","48","Squeezie","45618720","1605","58708","28422","3198154","41967","871937","true","false","French","Squeezie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8c2183e6-0deb-4377-a0bf-cbbf56ea70f3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","49","karljacobs","8275485","75","137311","110339","3197455","2685","31951","true","false","English","karljacobs"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f4b12683-57ff-4b57-926a-67512b43a7ff-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","50","Gaules","665457510","41055","121598","16208","3188385","42541","9344067","true","true","Portuguese","Gaules"
"https://static-cdn.jtvnw.net/jtv_user_pictures/fc7b15b2-e400-4e74-8c8b-2ad3725e5770-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","51","sodapoppin","232954680","10830","74728","21510","3167509","13096","3287381","true","true","English","sodapoppin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9ea9d6d3-cc64-42e2-a66f-f74624ff81be-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","52","Syndicate","5786295","3585","3010","1614","3132319","-1458","123905","true","false","English","Syndicate"
"https://static-cdn.jtvnw.net/jtv_user_pictures/bde8aaf5-35d4-4503-9797-842401da900f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","53","ludwig","93215145","4875","30804","19121","3094438","33256","1570513","true","false","English","ludwig"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1e65169d-750b-4b18-a688-af840acc8624-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","54","x2Twins","30771075","6240","14418","4931","2983582","43015","935412","true","false","English","x2Twins"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a6b26e12-6ac6-49b6-ab2a-63dfa474e989-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","55","s1mple","55245345","1650","56946","33482","2876972","97105","4057239","true","false","Russian","s1mple"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27fdad08-a2c2-4e0b-8983-448c39519643-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","56","LIRIK","183361680","8985","47277","20407","2851312","6730","3040403","true","false","English","LIRIK"
